Value,Date,series
-0.63,2009-01-15,ClothingFootwear
1.57,2009-01-15,HousingHouseService
0.15,2009-01-15,FurnitureHousehold
0.05,2009-01-15,Health
-0.3,2009-01-15,Transport
-0.05,2009-01-15,Communication
-0.08,2009-01-15,RecreationCulture
0.16,2009-01-15,Education
0.5,2009-01-15,RestaurantsHotels
0.3,2009-01-15,Misc
0.46,2009-07-15,Food
0.18,2009-07-15,AlcoholTobacco
-0.48,2009-07-15,ClothingFootwear
0.62,2009-07-15,HousingHouseService
0.16,2009-07-15,FurnitureHousehold
0.06,2009-07-15,Health
-0.18,2009-07-15,Transport
0.04,2009-07-15,Communication
0.29,2009-07-15,RecreationCulture
0.16,2009-07-15,Education
0.26,2009-07-15,RestaurantsHotels
0.2,2009-07-15,Misc
0.6,2009-06-15,Food
0.15,2009-06-15,AlcoholTobacco
-0.49,2009-06-15,ClothingFootwear
0.65,2009-06-15,HousingHouseService
0.13,2009-06-15,FurnitureHousehold
0.06,2009-06-15,Health
-0.17,2009-06-15,Transport
0.02,2009-06-15,Communication
0.17,2009-06-15,RecreationCulture
0.16,2009-06-15,Education
0.31,2009-06-15,RestaurantsHotels
0.2,2009-06-15,Misc
1.14,2009-03-15,Food
0.26,2009-03-15,AlcoholTobacco
-0.54,2009-03-15,ClothingFootwear
1.01,2009-03-15,HousingHouseService
0.23,2009-03-15,FurnitureHousehold
0.05,2009-03-15,Health
-0.31,2009-03-15,Transport
-0.02,2009-03-15,Communication
0.12,2009-03-15,RecreationCulture
0.16,2009-03-15,Education
0.46,2009-03-15,RestaurantsHotels
0.3,2009-03-15,Misc
0.86,2009-05-15,Food
0.18,2009-05-15,AlcoholTobacco
-0.49,2009-05-15,ClothingFootwear
0.66,2009-05-15,HousingHouseService
0.22,2009-05-15,FurnitureHousehold
0.06,2009-05-15,Health
-0.14,2009-05-15,Transport
0.03,2009-05-15,Communication
0.12,2009-05-15,RecreationCulture
0.16,2009-05-15,Education
0.33,2009-05-15,RestaurantsHotels
0.22,2009-05-15,Misc
0.15,2009-11-15,Food
0.19,2009-11-15,AlcoholTobacco
-0.37,2009-11-15,ClothingFootwear
-0.15,2009-11-15,HousingHouseService
0.24,2009-11-15,FurnitureHousehold
0.06,2009-11-15,Health
1.05,2009-11-15,Transport
0.04,2009-11-15,Communication
0.29,2009-11-15,RecreationCulture
0.11,2009-11-15,Education
0.2,2009-11-15,RestaurantsHotels
0.1,2009-11-15,Misc
0.25,2009-10-15,Food
0.19,2009-10-15,AlcoholTobacco
-0.4,2009-10-15,ClothingFootwear
-0.17,2009-10-15,HousingHouseService
0.22,2009-10-15,FurnitureHousehold
0.08,2009-10-15,Health
0.56,2009-10-15,Transport
0.06,2009-10-15,Communication
0.29,2009-10-15,RecreationCulture
0.11,2009-10-15,Education
0.2,2009-10-15,RestaurantsHotels
0.13,2009-10-15,Misc
0.17,2009-09-15,Food
0.19,2009-09-15,AlcoholTobacco
-0.41,2009-09-15,ClothingFootwear
-0.14,2009-09-15,HousingHouseService
0.2,2009-09-15,FurnitureHousehold
0.07,2009-09-15,Health
0.22,2009-09-15,Transport
0.03,2009-09-15,Communication
0.21,2009-09-15,RecreationCulture
0.15,2009-09-15,Education
0.2,2009-09-15,RestaurantsHotels
0.2,2009-09-15,Misc
0.32,2010-04-15,Food
0.28,2010-04-15,AlcoholTobacco
-0.02,2010-04-15,ClothingFootwear
0.02,2010-04-15,HousingHouseService
0.18,2010-04-15,FurnitureHousehold
0.06,2010-04-15,Health
1.69,2010-04-15,Transport
0.14,2010-04-15,Communication
0.36,2010-04-15,RecreationCulture
0.11,2010-04-15,Education
0.37,2010-04-15,RestaurantsHotels
0.22,2010-04-15,Misc
0.45,2010-08-15,Food
0.18,2010-08-15,AlcoholTobacco
-0.09,2010-08-15,ClothingFootwear
0.04,2010-08-15,HousingHouseService
0.2,2010-08-15,FurnitureHousehold
0.06,2010-08-15,Health
1.22,2010-08-15,Transport
0.14,2010-08-15,Communication
0.2,2010-08-15,RecreationCulture
0.11,2010-08-15,Education
0.37,2010-08-15,RestaurantsHotels
0.24,2010-08-15,Misc
0.66,2010-12-15,Food
0.23,2010-12-15,AlcoholTobacco
0.11,2010-12-15,ClothingFootwear
0.25,2010-12-15,HousingHouseService
0.17,2010-12-15,FurnitureHousehold
0.07,2010-12-15,Health
1.07,2010-12-15,Transport
0.09,2010-12-15,Communication
0.23,2010-12-15,RecreationCulture
0.1,2010-12-15,Education
0.44,2010-12-15,RestaurantsHotels
0.28,2010-12-15,Misc
0.15,2010-02-15,Food
0.18,2010-02-15,AlcoholTobacco
-0.18,2010-02-15,ClothingFootwear
-0.13,2010-02-15,HousingHouseService
0.26,2010-02-15,FurnitureHousehold
0.07,2010-02-15,Health
1.6,2010-02-15,Transport
0.11,2010-02-15,Communication
0.35,2010-02-15,RecreationCulture
0.11,2010-02-15,Education
0.3,2010-02-15,RestaurantsHotels
0.15,2010-02-15,Misc
0.22,2010-01-15,Food
0.26,2010-01-15,AlcoholTobacco
-0.26,2010-01-15,ClothingFootwear
-0.04,2010-01-15,HousingHouseService
0.35,2010-01-15,FurnitureHousehold
0.08,2010-01-15,Health
1.66,2010-01-15,Transport
0.1,2010-01-15,Communication
0.52,2010-01-15,RecreationCulture
0.11,2010-01-15,Education
0.28,2010-01-15,RestaurantsHotels
0.2,2010-01-15,Misc
0.37,2010-07-15,Food
0.21,2010-07-15,AlcoholTobacco
-0.18,2010-07-15,ClothingFootwear
0.05,2010-07-15,HousingHouseService
0.23,2010-07-15,FurnitureHousehold
0.06,2010-07-15,Health
1.26,2010-07-15,Transport
0.16,2010-07-15,Communication
0.2,2010-07-15,RecreationCulture
0.11,2010-07-15,Education
0.38,2010-07-15,RestaurantsHotels
0.21,2010-07-15,Misc
0.21,2010-06-15,Food
0.22,2010-06-15,AlcoholTobacco
-0.06,2010-06-15,ClothingFootwear
0.06,2010-06-15,HousingHouseService
0.17,2010-06-15,FurnitureHousehold
0.06,2010-06-15,Health
1.4,2010-06-15,Transport
0.16,2010-06-15,Communication
0.27,2010-06-15,RecreationCulture
0.11,2010-06-15,Education
0.36,2010-06-15,RestaurantsHotels
0.29,2010-06-15,Misc
0.24,2010-03-15,Food
0.2,2010-03-15,AlcoholTobacco
-0.14,2010-03-15,ClothingFootwear
0.01,2010-03-15,HousingHouseService
0.22,2010-03-15,FurnitureHousehold
0.07,2010-03-15,Health
1.71,2010-03-15,Transport
0.12,2010-03-15,Communication
0.38,2010-03-15,RecreationCulture
0.11,2010-03-15,Education
0.33,2010-03-15,RestaurantsHotels
0.15,2010-03-15,Misc
0.2,2010-05-15,Food
0.2,2010-05-15,AlcoholTobacco
-0.02,2010-05-15,ClothingFootwear
0.08,2010-05-15,HousingHouseService
0.19,2010-05-15,FurnitureHousehold
0.06,2010-05-15,Health
1.57,2010-05-15,Transport
0.13,2010-05-15,Communication
0.29,2010-05-15,RecreationCulture
0.11,2010-05-15,Education
0.35,2010-05-15,RestaurantsHotels
0.23,2010-05-15,Misc
0.6,2010-11-15,Food
0.26,2010-11-15,AlcoholTobacco
0.15,2010-11-15,ClothingFootwear
0.08,2010-11-15,HousingHouseService
0.24,2010-11-15,FurnitureHousehold
0.07,2010-11-15,Health
0.82,2010-11-15,Transport
0.1,2010-11-15,Communication
0.17,2010-11-15,RecreationCulture
0.1,2010-11-15,Education
0.41,2010-11-15,RestaurantsHotels
0.28,2010-11-15,Misc
0.49,2010-10-15,Food
0.25,2010-10-15,AlcoholTobacco
0.06,2010-10-15,ClothingFootwear
0.06,2010-10-15,HousingHouseService
0.19,2010-10-15,FurnitureHousehold
0.06,2010-10-15,Health
0.93,2010-10-15,Transport
0.1,2010-10-15,Communication
0.23,2010-10-15,RecreationCulture
0.1,2010-10-15,Education
0.39,2010-10-15,RestaurantsHotels
0.29,2010-10-15,Misc
0.57,2010-09-15,Food
0.21,2010-09-15,AlcoholTobacco
0.08,2010-09-15,ClothingFootwear
0.06,2010-09-15,HousingHouseService
0.21,2010-09-15,FurnitureHousehold
0.06,2010-09-15,Health
0.86,2010-09-15,Transport
0.11,2010-09-15,Communication
0.16,2010-09-15,RecreationCulture
0.13,2010-09-15,Education
0.41,2010-09-15,RestaurantsHotels
0.25,2010-09-15,Misc
0.47,2011-04-15,Food
0.38,2011-04-15,AlcoholTobacco
0.09,2011-04-15,ClothingFootwear
0.57,2011-04-15,HousingHouseService
0.33,2011-04-15,FurnitureHousehold
0.09,2011-04-15,Health
1.53,2011-04-15,Transport
0.07,2011-04-15,Communication
0.13,2011-04-15,RecreationCulture
0.1,2011-04-15,Education
0.52,2011-04-15,RestaurantsHotels
0.2,2011-04-15,Misc
0.69,2011-08-15,Food
0.41,2011-08-15,AlcoholTobacco
0.23,2011-08-15,ClothingFootwear
0.65,2011-08-15,HousingHouseService
0.37,2011-08-15,FurnitureHousehold
0.08,2011-08-15,Health
1.19,2011-08-15,Transport
0.09,2011-08-15,Communication
-0.12,2011-08-15,RecreationCulture
0.1,2011-08-15,Education
0.55,2011-08-15,RestaurantsHotels
0.26,2011-08-15,Misc
0.45,2011-12-15,Food
0.37,2011-12-15,AlcoholTobacco
0.14,2011-12-15,ClothingFootwear
1.01,2011-12-15,HousingHouseService
0.3,2011-12-15,FurnitureHousehold
0.08,2011-12-15,Health
0.91,2011-12-15,Transport
0.17,2011-12-15,Communication
-0.1,2011-12-15,RecreationCulture
0.09,2011-12-15,Education
0.53,2011-12-15,RestaurantsHotels
0.25,2011-12-15,Misc
0.69,2011-02-15,Food
0.25,2011-02-15,AlcoholTobacco
0.17,2011-02-15,ClothingFootwear
0.4,2011-02-15,HousingHouseService
0.27,2011-02-15,FurnitureHousehold
0.06,2011-02-15,Health
1.29,2011-02-15,Transport
0.12,2011-02-15,Communication
0.2,2011-02-15,RecreationCulture
0.1,2011-02-15,Education
0.55,2011-02-15,RestaurantsHotels
0.26,2011-02-15,Misc
0.68,2011-01-15,Food
0.28,2011-01-15,AlcoholTobacco
0.05,2011-01-15,ClothingFootwear
0.27,2011-01-15,HousingHouseService
0.25,2011-01-15,FurnitureHousehold
0.07,2011-01-15,Health
1.25,2011-01-15,Transport
0.09,2011-01-15,Communication
0.15,2011-01-15,RecreationCulture
0.1,2011-01-15,Education
0.56,2011-01-15,RestaurantsHotels
0.21,2011-01-15,Misc
0.69,2011-07-15,Food
0.43,2011-07-15,AlcoholTobacco
0.15,2011-07-15,ClothingFootwear
0.59,2011-07-15,HousingHouseService
0.31,2011-07-15,FurnitureHousehold
0.08,2011-07-15,Health
1.25,2011-07-15,Transport
0.07,2011-07-15,Communication
-0.04,2011-07-15,RecreationCulture
0.1,2011-07-15,Education
0.54,2011-07-15,RestaurantsHotels
0.26,2011-07-15,Misc
0.76,2011-06-15,Food
0.4,2011-06-15,AlcoholTobacco
0.1,2011-06-15,ClothingFootwear
0.54,2011-06-15,HousingHouseService
0.26,2011-06-15,FurnitureHousehold
0.08,2011-06-15,Health
1.27,2011-06-15,Transport
0.05,2011-06-15,Communication
-0.08,2011-06-15,RecreationCulture
0.1,2011-06-15,Education
0.54,2011-06-15,RestaurantsHotels
0.18,2011-06-15,Misc
0.49,2011-03-15,Food
0.24,2011-03-15,AlcoholTobacco
0.14,2011-03-15,ClothingFootwear
0.44,2011-03-15,HousingHouseService
0.28,2011-03-15,FurnitureHousehold
0.08,2011-03-15,Health
1.29,2011-03-15,Transport
0.11,2011-03-15,Communication
0.09,2011-03-15,RecreationCulture
0.1,2011-03-15,Education
0.53,2011-03-15,RestaurantsHotels
0.26,2011-03-15,Misc
0.64,2011-05-15,Food
0.41,2011-05-15,AlcoholTobacco
0.1,2011-05-15,ClothingFootwear
0.55,2011-05-15,HousingHouseService
0.28,2011-05-15,FurnitureHousehold
0.09,2011-05-15,Health
1.29,2011-05-15,Transport
0.1,2011-05-15,Communication
0.13,2011-05-15,RecreationCulture
0.1,2011-05-15,Education
0.54,2011-05-15,RestaurantsHotels
0.24,2011-05-15,Misc
0.46,2011-11-15,Food
0.41,2011-11-15,AlcoholTobacco
0.23,2011-11-15,ClothingFootwear
1.17,2011-11-15,HousingHouseService
0.32,2011-11-15,FurnitureHousehold
0.08,2011-11-15,Health
1.14,2011-11-15,Transport
0.13,2011-11-15,Communication
-0.08,2011-11-15,RecreationCulture
0.09,2011-11-15,Education
0.55,2011-11-15,RestaurantsHotels
0.27,2011-11-15,Misc
0.56,2011-10-15,Food
0.38,2011-10-15,AlcoholTobacco
0.26,2011-10-15,ClothingFootwear
1.16,2011-10-15,HousingHouseService
0.36,2011-10-15,FurnitureHousehold
0.07,2011-10-15,Health
1.23,2011-10-15,Transport
0.13,2011-10-15,Communication
-0.07,2011-10-15,RecreationCulture
0.09,2011-10-15,Education
0.55,2011-10-15,RestaurantsHotels
0.27,2011-10-15,Misc
0.71,2011-09-15,Food
0.42,2011-09-15,AlcoholTobacco
0.17,2011-09-15,ClothingFootwear
1.1,2011-09-15,HousingHouseService
0.34,2011-09-15,FurnitureHousehold
0.09,2011-09-15,Health
1.41,2011-09-15,Transport
0.16,2011-09-15,Communication
-0.09,2011-09-15,RecreationCulture
0.09,2011-09-15,Education
0.57,2011-09-15,RestaurantsHotels
0.23,2011-09-15,Misc
0.49,2012-04-15,Food
0.23,2012-04-15,AlcoholTobacco
0.15,2012-04-15,ClothingFootwear
0.81,2012-04-15,HousingHouseService
0.23,2012-04-15,FurnitureHousehold
0.08,2012-04-15,Health
0.28,2012-04-15,Transport
0.11,2012-04-15,Communication
-0.07,2012-04-15,RecreationCulture
0.09,2012-04-15,Education
0.39,2012-04-15,RestaurantsHotels
0.26,2012-04-15,Misc
0.26,2012-08-15,Food
0.24,2012-08-15,AlcoholTobacco
-0.05,2012-08-15,ClothingFootwear
0.74,2012-08-15,HousingHouseService
0.14,2012-08-15,FurnitureHousehold
0.06,2012-08-15,Health
0.29,2012-08-15,Transport
0.12,2012-08-15,Communication
0.09,2012-08-15,RecreationCulture
0.09,2012-08-15,Education
0.35,2012-08-15,RestaurantsHotels
0.15,2012-08-15,Misc
0.42,2012-12-15,Food
0.25,2012-12-15,AlcoholTobacco
0.07,2012-12-15,ClothingFootwear
0.55,2012-12-15,HousingHouseService
0.06,2012-12-15,FurnitureHousehold
0.07,2012-12-15,Health
0.19,2012-12-15,Transport
0.06,2012-12-15,Communication
0.09,2012-12-15,RecreationCulture
0.37,2012-12-15,Education
0.37,2012-12-15,RestaurantsHotels
0.19,2012-12-15,Misc
0.43,2012-02-15,Food
0.34,2012-02-15,AlcoholTobacco
0.14,2012-02-15,ClothingFootwear
0.87,2012-02-15,HousingHouseService
0.28,2012-02-15,FurnitureHousehold
0.09,2012-02-15,Health
0.59,2012-02-15,Transport
0.11,2012-02-15,Communication
-0.13,2012-02-15,RecreationCulture
0.09,2012-02-15,Education
0.35,2012-02-15,RestaurantsHotels
0.28,2012-02-15,Misc
0.42,2012-01-15,Food
0.26,2012-01-15,AlcoholTobacco
0.18,2012-01-15,ClothingFootwear
0.96,2012-01-15,HousingHouseService
0.27,2012-01-15,FurnitureHousehold
0.08,2012-01-15,Health
0.63,2012-01-15,Transport
0.13,2012-01-15,Communication
-0.08,2012-01-15,RecreationCulture
0.09,2012-01-15,Education
0.37,2012-01-15,RestaurantsHotels
0.27,2012-01-15,Misc
0.25,2012-07-15,Food
0.21,2012-07-15,AlcoholTobacco
0.0,2012-07-15,ClothingFootwear
0.79,2012-07-15,HousingHouseService
0.22,2012-07-15,FurnitureHousehold
0.07,2012-07-15,Health
0.22,2012-07-15,Transport
0.12,2012-07-15,Communication
0.06,2012-07-15,RecreationCulture
0.09,2012-07-15,Education
0.37,2012-07-15,RestaurantsHotels
0.16,2012-07-15,Misc
0.26,2012-06-15,Food
0.2,2012-06-15,AlcoholTobacco
-0.05,2012-06-15,ClothingFootwear
0.78,2012-06-15,HousingHouseService
0.22,2012-06-15,FurnitureHousehold
0.09,2012-06-15,Health
0.15,2012-06-15,Transport
0.13,2012-06-15,Communication
0.04,2012-06-15,RecreationCulture
0.09,2012-06-15,Education
0.37,2012-06-15,RestaurantsHotels
0.18,2012-06-15,Misc
0.53,2012-03-15,Food
0.33,2012-03-15,AlcoholTobacco
0.22,2012-03-15,ClothingFootwear
0.79,2012-03-15,HousingHouseService
0.26,2012-03-15,FurnitureHousehold
0.07,2012-03-15,Health
0.53,2012-03-15,Transport
0.13,2012-03-15,Communication
-0.09,2012-03-15,RecreationCulture
0.09,2012-03-15,Education
0.35,2012-03-15,RestaurantsHotels
0.26,2012-03-15,Misc
0.38,2012-05-15,Food
0.2,2012-05-15,AlcoholTobacco
0.12,2012-05-15,ClothingFootwear
0.8,2012-05-15,HousingHouseService
0.24,2012-05-15,FurnitureHousehold
0.08,2012-05-15,Health
0.27,2012-05-15,Transport
0.11,2012-05-15,Communication
-0.1,2012-05-15,RecreationCulture
0.09,2012-05-15,Education
0.38,2012-05-15,RestaurantsHotels
0.2,2012-05-15,Misc
0.44,2012-11-15,Food
0.24,2012-11-15,AlcoholTobacco
-0.02,2012-11-15,ClothingFootwear
0.29,2012-11-15,HousingHouseService
0.04,2012-11-15,FurnitureHousehold
0.06,2012-11-15,Health
0.41,2012-11-15,Transport
0.1,2012-11-15,Communication
0.14,2012-11-15,RecreationCulture
0.38,2012-11-15,Education
0.38,2012-11-15,RestaurantsHotels
0.22,2012-11-15,Misc
0.39,2012-10-15,Food
0.27,2012-10-15,AlcoholTobacco
0.01,2012-10-15,ClothingFootwear
0.24,2012-10-15,HousingHouseService
0.11,2012-10-15,FurnitureHousehold
0.06,2012-10-15,Health
0.49,2012-10-15,Transport
0.1,2012-10-15,Communication
0.11,2012-10-15,RecreationCulture
0.38,2012-10-15,Education
0.33,2012-10-15,RestaurantsHotels
0.18,2012-10-15,Misc
0.23,2012-09-15,Food
0.25,2012-09-15,AlcoholTobacco
-0.01,2012-09-15,ClothingFootwear
0.3,2012-09-15,HousingHouseService
0.11,2012-09-15,FurnitureHousehold
0.06,2012-09-15,Health
0.41,2012-09-15,Transport
0.09,2012-09-15,Communication
0.16,2012-09-15,RecreationCulture
0.06,2012-09-15,Education
0.34,2012-09-15,RestaurantsHotels
0.22,2012-09-15,Misc
0.5,2013-04-15,Food
0.25,2013-04-15,AlcoholTobacco
-0.03,2013-04-15,ClothingFootwear
0.59,2013-04-15,HousingHouseService
0.01,2013-04-15,FurnitureHousehold
0.06,2013-04-15,Health
-0.03,2013-04-15,Transport
0.09,2013-04-15,Communication
0.2,2013-04-15,RecreationCulture
0.37,2013-04-15,Education
0.29,2013-04-15,RestaurantsHotels
0.11,2013-04-15,Misc
0.45,2013-08-15,Food
0.27,2013-08-15,AlcoholTobacco
0.11,2013-08-15,ClothingFootwear
0.59,2013-08-15,HousingHouseService
0.07,2013-08-15,FurnitureHousehold
0.07,2013-08-15,Health
0.16,2013-08-15,Transport
0.08,2013-08-15,Communication
0.12,2013-08-15,RecreationCulture
0.37,2013-08-15,Education
0.28,2013-08-15,RestaurantsHotels
0.12,2013-08-15,Misc
0.2,2013-12-15,Food
0.25,2013-12-15,AlcoholTobacco
0.14,2013-12-15,ClothingFootwear
0.5,2013-12-15,HousingHouseService
0.09,2013-12-15,FurnitureHousehold
0.06,2013-12-15,Health
0.08,2013-12-15,Transport
0.1,2013-12-15,Communication
0.11,2013-12-15,RecreationCulture
0.22,2013-12-15,Education
0.27,2013-12-15,RestaurantsHotels
0.03,2013-12-15,Misc
0.41,2013-02-15,Food
0.31,2013-02-15,AlcoholTobacco
-0.04,2013-02-15,ClothingFootwear
0.62,2013-02-15,HousingHouseService
0.05,2013-02-15,FurnitureHousehold
0.05,2013-02-15,Health
0.3,2013-02-15,Transport
0.12,2013-02-15,Communication
0.17,2013-02-15,RecreationCulture
0.37,2013-02-15,Education
0.36,2013-02-15,RestaurantsHotels
0.08,2013-02-15,Misc
0.47,2013-01-15,Food
0.37,2013-01-15,AlcoholTobacco
0.01,2013-01-15,ClothingFootwear
0.51,2013-01-15,HousingHouseService
0.05,2013-01-15,FurnitureHousehold
0.05,2013-01-15,Health
0.21,2013-01-15,Transport
0.1,2013-01-15,Communication
0.07,2013-01-15,RecreationCulture
0.38,2013-01-15,Education
0.37,2013-01-15,RestaurantsHotels
0.13,2013-01-15,Misc
0.43,2013-07-15,Food
0.28,2013-07-15,AlcoholTobacco
0.15,2013-07-15,ClothingFootwear
0.61,2013-07-15,HousingHouseService
0.01,2013-07-15,FurnitureHousehold
0.07,2013-07-15,Health
0.23,2013-07-15,Transport
0.09,2013-07-15,Communication
0.09,2013-07-15,RecreationCulture
0.37,2013-07-15,Education
0.3,2013-07-15,RestaurantsHotels
0.14,2013-07-15,Misc
0.42,2013-06-15,Food
0.28,2013-06-15,AlcoholTobacco
0.21,2013-06-15,ClothingFootwear
0.62,2013-06-15,HousingHouseService
0.01,2013-06-15,FurnitureHousehold
0.05,2013-06-15,Health
0.26,2013-06-15,Transport
0.09,2013-06-15,Communication
0.18,2013-06-15,RecreationCulture
0.37,2013-06-15,Education
0.3,2013-06-15,RestaurantsHotels
0.14,2013-06-15,Misc
0.42,2013-03-15,Food
0.27,2013-03-15,AlcoholTobacco
-0.01,2013-03-15,ClothingFootwear
0.64,2013-03-15,HousingHouseService
0.02,2013-03-15,FurnitureHousehold
0.06,2013-03-15,Health
0.27,2013-03-15,Transport
0.1,2013-03-15,Communication
0.25,2013-03-15,RecreationCulture
0.37,2013-03-15,Education
0.35,2013-03-15,RestaurantsHotels
0.11,2013-03-15,Misc
0.47,2013-05-15,Food
0.28,2013-05-15,AlcoholTobacco
0.06,2013-05-15,ClothingFootwear
0.59,2013-05-15,HousingHouseService
0.04,2013-05-15,FurnitureHousehold
0.06,2013-05-15,Health
0.17,2013-05-15,Transport
0.08,2013-05-15,Communication
0.21,2013-05-15,RecreationCulture
0.37,2013-05-15,Education
0.28,2013-05-15,RestaurantsHotels
0.09,2013-05-15,Misc
0.3,2013-11-15,Food
0.26,2013-11-15,AlcoholTobacco
0.11,2013-11-15,ClothingFootwear
0.47,2013-11-15,HousingHouseService
0.06,2013-11-15,FurnitureHousehold
0.06,2013-11-15,Health
0.04,2013-11-15,Transport
0.09,2013-11-15,Communication
0.16,2013-11-15,RecreationCulture
0.22,2013-11-15,Education
0.27,2013-11-15,RestaurantsHotels
0.06,2013-11-15,Misc
0.42,2013-10-15,Food
0.24,2013-10-15,AlcoholTobacco
0.1,2013-10-15,ClothingFootwear
0.56,2013-10-15,HousingHouseService
0.06,2013-10-15,FurnitureHousehold
0.06,2013-10-15,Health
-0.04,2013-10-15,Transport
0.09,2013-10-15,Communication
0.1,2013-10-15,RecreationCulture
0.22,2013-10-15,Education
0.33,2013-10-15,RestaurantsHotels
0.06,2013-10-15,Misc
0.47,2013-09-15,Food
0.24,2013-09-15,AlcoholTobacco
0.1,2013-09-15,ClothingFootwear
0.59,2013-09-15,HousingHouseService
0.05,2013-09-15,FurnitureHousehold
0.07,2013-09-15,Health
0.17,2013-09-15,Transport
0.08,2013-09-15,Communication
0.12,2013-09-15,RecreationCulture
0.4,2013-09-15,Education
0.3,2013-09-15,RestaurantsHotels
0.09,2013-09-15,Misc
0.06,2014-04-15,Food
0.16,2014-04-15,AlcoholTobacco
0.1,2014-04-15,ClothingFootwear
0.41,2014-04-15,HousingHouseService
0.09,2014-04-15,FurnitureHousehold
0.07,2014-04-15,Health
0.24,2014-04-15,Transport
0.06,2014-04-15,Communication
0.07,2014-04-15,RecreationCulture
0.21,2014-04-15,Education
0.27,2014-04-15,RestaurantsHotels
0.04,2014-04-15,Misc
-0.12,2014-08-15,Food
0.21,2014-08-15,AlcoholTobacco
0.03,2014-08-15,ClothingFootwear
0.43,2014-08-15,HousingHouseService
0.02,2014-08-15,FurnitureHousehold
0.07,2014-08-15,Health
0.2,2014-08-15,Transport
0.03,2014-08-15,Communication
0.2,2014-08-15,RecreationCulture
0.21,2014-08-15,Education
0.31,2014-08-15,RestaurantsHotels
-0.04,2014-08-15,Misc
-0.19,2014-12-15,Food
0.22,2014-12-15,AlcoholTobacco
-0.01,2014-12-15,ClothingFootwear
0.12,2014-12-15,HousingHouseService
0.01,2014-12-15,FurnitureHousehold
0.05,2014-12-15,Health
-0.21,2014-12-15,Transport
0.02,2014-12-15,Communication
0.08,2014-12-15,RecreationCulture
0.22,2014-12-15,Education
0.28,2014-12-15,RestaurantsHotels
-0.06,2014-12-15,Misc
0.19,2014-02-15,Food
0.19,2014-02-15,AlcoholTobacco
0.05,2014-02-15,ClothingFootwear
0.44,2014-02-15,HousingHouseService
0.1,2014-02-15,FurnitureHousehold
0.08,2014-02-15,Health
-0.06,2014-02-15,Transport
0.06,2014-02-15,Communication
0.11,2014-02-15,RecreationCulture
0.21,2014-02-15,Education
0.27,2014-02-15,RestaurantsHotels
0.08,2014-02-15,Misc
0.21,2014-01-15,Food
0.2,2014-01-15,AlcoholTobacco
0.11,2014-01-15,ClothingFootwear
0.5,2014-01-15,HousingHouseService
0.04,2014-01-15,FurnitureHousehold
0.07,2014-01-15,Health
0.07,2014-01-15,Transport
0.09,2014-01-15,Communication
0.06,2014-01-15,RecreationCulture
0.22,2014-01-15,Education
0.25,2014-01-15,RestaurantsHotels
0.08,2014-01-15,Misc
-0.05,2014-07-15,Food
0.16,2014-07-15,AlcoholTobacco
-0.02,2014-07-15,ClothingFootwear
0.42,2014-07-15,HousingHouseService
0.07,2014-07-15,FurnitureHousehold
0.06,2014-07-15,Health
0.21,2014-07-15,Transport
0.02,2014-07-15,Communication
0.22,2014-07-15,RecreationCulture
0.21,2014-07-15,Education
0.33,2014-07-15,RestaurantsHotels
-0.05,2014-07-15,Misc
0.0,2014-06-15,Food
0.22,2014-06-15,AlcoholTobacco
0.19,2014-06-15,ClothingFootwear
0.44,2014-06-15,HousingHouseService
0.1,2014-06-15,FurnitureHousehold
0.08,2014-06-15,Health
0.14,2014-06-15,Transport
0.03,2014-06-15,Communication
0.19,2014-06-15,RecreationCulture
0.21,2014-06-15,Education
0.31,2014-06-15,RestaurantsHotels
0.01,2014-06-15,Misc
0.18,2014-03-15,Food
0.22,2014-03-15,AlcoholTobacco
0.02,2014-03-15,ClothingFootwear
0.42,2014-03-15,HousingHouseService
0.07,2014-03-15,FurnitureHousehold
0.08,2014-03-15,Health
-0.16,2014-03-15,Transport
0.07,2014-03-15,Communication
0.09,2014-03-15,RecreationCulture
0.21,2014-03-15,Education
0.3,2014-03-15,RestaurantsHotels
0.09,2014-03-15,Misc
-0.08,2014-05-15,Food
0.21,2014-05-15,AlcoholTobacco
0.01,2014-05-15,ClothingFootwear
0.44,2014-05-15,HousingHouseService
0.06,2014-05-15,FurnitureHousehold
0.07,2014-05-15,Health
0.07,2014-05-15,Transport
0.03,2014-05-15,Communication
0.17,2014-05-15,RecreationCulture
0.21,2014-05-15,Education
0.27,2014-05-15,RestaurantsHotels
0.03,2014-05-15,Misc
-0.19,2014-11-15,Food
0.18,2014-11-15,AlcoholTobacco
0.01,2014-11-15,ClothingFootwear
0.44,2014-11-15,HousingHouseService
0.02,2014-11-15,FurnitureHousehold
0.05,2014-11-15,Health
-0.03,2014-11-15,Transport
0.02,2014-11-15,Communication
0.05,2014-11-15,RecreationCulture
0.22,2014-11-15,Education
0.28,2014-11-15,RestaurantsHotels
-0.07,2014-11-15,Misc
-0.16,2014-10-15,Food
0.24,2014-10-15,AlcoholTobacco
0.01,2014-10-15,ClothingFootwear
0.43,2014-10-15,HousingHouseService
0.01,2014-10-15,FurnitureHousehold
0.05,2014-10-15,Health
0.07,2014-10-15,Transport
0.02,2014-10-15,Communication
0.15,2014-10-15,RecreationCulture
0.22,2014-10-15,Education
0.3,2014-10-15,RestaurantsHotels
-0.03,2014-10-15,Misc
-0.15,2014-09-15,Food
