Square Footage,County,Agency Name
11700,Champaign,University of Illinois
11700,Champaign,University of Illinois
4893,Champaign,University of Illinois
5513,Champaign,University of Illinois
4992,Champaign,University of Illinois
640,Randolph,Department of Human Services
900,Cook,Department of Human Services
53400,Cook,Department of Human Services
0,Cook,Department of Human Services
0,Cook,Department of Human Services
0,Cook,Department of Human Services
71500,Lee,Department of Corrections
50,Lee,Department of Corrections
50,Lee,Department of Corrections
30200,Madison,Department of Human Services
15220,Logan,Department of Human Services
32530,Union,Department of Human Services
1113,Cook,Department of Human Services
2730,Cook,Department of Human Services
3360,Cook,Department of Human Services
4641,Cook,Department of Human Services
861,Cook,Department of Human Services
651,Cook,Department of Human Services
1386,Cook,Department of Human Services
1500,Cook,Department of Human Services
1386,Cook,Department of Human Services
1386,Cook,Department of Human Services
35620,Kane,Department of Human Services
14954,Kane,Department of Human Services
45000,Morgan,Department of Human Services
44800,Kankakee,Department of Human Services
800,Livingston,Department of Corrections
122,Will,Department of Corrections
150659,Will,Department of Corrections
34636,Randolph,Department of Corrections
50640,Randolph,Department of Corrections
30637,Livingston,Department of Corrections
120,LaSalle,Department of Corrections
124,Fayette,Department of Corrections
2710,Fayette,Department of Corrections
2710,Fayette,Department of Corrections
16200,Pope,Department of Corrections
500,Kane,Department of Juvenile Justice
31000,Logan,Department of Corrections
30000,Rock Island,Department of Corrections
50,Rock Island,Department of Corrections
650,Brown,Department of Corrections
25,Will,Department of Transportation
25,Lake,Department of Transportation
160,Madison,Department of Transportation
11000,Madison,Department of Transportation
5278,Madison,Department of Transportation
288,Gallatin,Historic Preservation Agency
171000,St. Clair,Southern Illinois University
37850,St. Clair,Southern Illinois University
341100,Champaign,University of Illinois
120000,Jackson,Southern Illinois University
40000,Coles,Eastern Illinois University
1415,Coles,Eastern Illinois University
16698,Cook,Northeastern Illinois University
104930,Cook,Northeastern Illinois University
80903,McLean,Illinois State University
119500,McLean,Illinois State University
97153,McLean,Illinois State University
3693,McLean,Illinois State University
9116,McLean,Illinois State University
134600,McLean,Illinois State University
3000,McLean,Illinois State University
24046,McLean,Illinois State University
993,McLean,Illinois State University
4705,McLean,Illinois State University
7615,McLean,Illinois State University
10055,McLean,Illinois State University
2206,McLean,Illinois State University
2850,McLean,Illinois State University
3334,McLean,Illinois State University
5100,McLean,Illinois State University
30738,McLean,Illinois State University
16716,McLean,Illinois State University
12336,McLean,Illinois State University
3000,McLean,Illinois State University
4542,McLean,Illinois State University
1300,McLean,Illinois State University
1500,McLean,Illinois State University
95856,McLean,Illinois State University
100448,DeKalb,Northern Illinois University
7100,Morgan,Department of Human Services
54,Adams,Department of Veterans' Affairs
3360,Champaign,University of Illinois
3540,Champaign,University of Illinois
3696,Champaign,University of Illinois
3360,Champaign,University of Illinois
144,Moultrie,Department of Natural Resources
112,Moultrie,Department of Natural Resources
48533,Champaign,University of Illinois
202759,Sangamon,Department of Central Management Services
85842,Sangamon,Department of Central Management Services
75751,Sangamon,Department of Central Management Services
65563,Sangamon,Department of Central Management Services
50885,Sangamon,Department of Central Management Services
2656,Sangamon,Department of Central Management Services
864,Peoria,Department of Natural Resources
984,Jackson,Department of Natural Resources
0,Jackson,Department of Natural Resources
0,Jackson,Department of Natural Resources
1800,Kankakee,Department of Natural Resources
3075,Vermilion,Department of Natural Resources
2100,Menard,Historic Preservation Agency
300,Jersey,Department of Natural Resources
720,Gallatin,Historic Preservation Agency
0,Gallatin,Historic Preservation Agency
0,LaSalle,Department of Natural Resources
16,McDonough,Department of Natural Resources
16,McDonough,Department of Natural Resources
16,McDonough,Department of Natural Resources
16,McDonough,Department of Natural Resources
16,McDonough,Department of Natural Resources
16,McDonough,Department of Natural Resources
36,Christian,Department of Natural Resources
1089,Jersey,Department of Natural Resources
35,Jersey,Department of Natural Resources
0,Jersey,Department of Natural Resources
650,Jersey,Department of Natural Resources
228,Jersey,Department of Natural Resources
225,Jersey,Department of Natural Resources
26724,Kankakee,Department of Veterans' Affairs
0,Kankakee,Department of Veterans' Affairs
0,Kankakee,Department of Veterans' Affairs
41599,Kankakee,Department of Veterans' Affairs
0,Kankakee,Department of Veterans' Affairs
12628,Lee,Department of Corrections
6278,Lee,Department of Corrections
0,Madison,Department of Human Services
0,Logan,Department of Human Services
150,Livingston,Department of Corrections
100,Livingston,Department of Corrections
100,Livingston,Department of Corrections
238,Livingston,Department of Corrections
5000,Livingston,Department of Corrections
207,Will,Department of Corrections
207,Will,Department of Corrections
0,Will,Department of Corrections
100,Randolph,Department of Corrections
144,Randolph,Department of Corrections
32302,Livingston,Department of Corrections
0,Rock Island,Department of Corrections
0,Rock Island,Department of Corrections
64,Rock Island,Department of Corrections
100,Rock Island,Department of Corrections
0,Rock Island,Department of Corrections
0,Rock Island,Department of Corrections
0,Rock Island,Department of Corrections
252,Rock Island,Department of Corrections
432,Montgomery,Department of Corrections
2900,Lake,Department of Transportation
2300,Lake,Department of Transportation
3528,Scott,Department of Transportation
8000,Sangamon,Department of Agriculture
8000,Sangamon,Department of Agriculture
8000,Sangamon,Department of Agriculture
1300,Fulton,Department of Natural Resources
0,Jackson,Southern Illinois University
0,Jackson,Southern Illinois University
300,Morgan,Department of Human Services
576,Knox,Department of Natural Resources
1300,Logan,Department of Natural Resources
1500,Logan,Department of Natural Resources
1250,Logan,Department of Natural Resources
1125,Logan,Department of Natural Resources
60,Clinton,Department of Natural Resources
1624,Clinton,Department of Natural Resources
1800,Clinton,Department of Natural Resources
2400,Clinton,Department of Natural Resources
472,Clinton,Department of Natural Resources
3000,Clinton,Department of Natural Resources
196,Clinton,Department of Natural Resources
0,Lee,Department of Natural Resources
480,Lee,Department of Natural Resources
2000,Lee,Department of Natural Resources
540,Lee,Department of Natural Resources
45,Lee,Department of Natural Resources
480,Lee,Department of Natural Resources
520,Lee,Department of Natural Resources
2400,Perry,Department of Natural Resources
520,Lee,Department of Natural Resources
520,Lee,Department of Natural Resources
60,Lee,Department of Natural Resources
60,Lee,Department of Natural Resources
104,Perry,Department of Natural Resources
104,Perry,Department of Natural Resources
104,Perry,Department of Natural Resources
9908,Mason,Department of Natural Resources
4000,Mason,Department of Natural Resources
11325,Mason,Department of Natural Resources
2430,Mason,Department of Natural Resources
2100,Mason,Department of Natural Resources
864,Mason,Department of Natural Resources
7980,Mason,Department of Natural Resources
2400,Grundy,Department of Natural Resources
6000,Grundy,Department of Natural Resources
760,Grundy,Department of Natural Resources
720,Grundy,Department of Natural Resources
49,Grundy,Department of Natural Resources
49,Grundy,Department of Natural Resources
1200,Grundy,Department of Natural Resources
36,Grundy,Department of Natural Resources
49,Grundy,Department of Natural Resources
4000,Grundy,Department of Natural Resources
1600,Mason,Department of Natural Resources
1800,Mason,Department of Natural Resources
1920,Mason,Department of Natural Resources
3432,St. Clair,Historic Preservation Agency
1425,Randolph,Historic Preservation Agency
25,Kankakee,Historic Preservation Agency
420,Kankakee,Historic Preservation Agency
540,Randolph,Historic Preservation Agency
192,Randolph,Historic Preservation Agency
144,Logan,Department of Natural Resources
9000,Sangamon,Historic Preservation Agency
192,Jersey,Department of Natural Resources
192,Jersey,Department of Natural Resources
192,Jersey,Department of Natural Resources
2100,Jersey,Department of Natural Resources
2062,Jersey,Department of Natural Resources
4896,Jersey,Department of Natural Resources
768,Jersey,Department of Natural Resources
36,Jersey,Department of Natural Resources
1120,Jersey,Department of Natural Resources
432,Jersey,Department of Natural Resources
520,Jersey,Department of Natural Resources
3600,Jersey,Department of Natural Resources
240,Jersey,Department of Natural Resources
2880,Jersey,Department of Natural Resources
2864,Jersey,Department of Natural Resources
480,Jersey,Department of Natural Resources
1800,Tazewell,Department of Natural Resources
108,Jersey,Department of Natural Resources
108,Jersey,Department of Natural Resources
27,Jersey,Department of Natural Resources
108,Jersey,Department of Natural Resources
300,Jasper,Department of Natural Resources
2400,Fulton,Department of Natural Resources
1008,Fulton,Department of Natural Resources
360,Fulton,Department of Natural Resources
3040,Jefferson,Department of Natural Resources
2304,Jefferson,Department of Natural Resources
2250,Jefferson,Department of Natural Resources
15960,Jefferson,Department of Natural Resources
2400,Jefferson,Department of Natural Resources
900,Jefferson,Department of Natural Resources
4100,Jefferson,Department of Natural Resources
3285,Will,Department of Natural Resources
8320,Will,Department of Natural Resources
8320,Will,Department of Natural Resources
5200,Will,Department of Natural Resources
2808,Cass,Department of Natural Resources
1920,Cass,Department of Natural Resources
880,Cass,Department of Natural Resources
2000,Cass,Department of Natural Resources
22980,Will,Department of Transportation
400,Cass,Department of Natural Resources
2400,Cass,Department of Natural Resources
90,Madison,Department of Natural Resources
90,Madison,Department of Natural Resources
40,Madison,Department of Natural Resources
720,Madison,Department of Natural Resources
3768,Madison,Department of Natural Resources
104,Madison,Department of Natural Resources
104,Madison,Department of Natural Resources
104,Madison,Department of Natural Resources
104,Madison,Department of Natural Resources
64,Lee,Department of Natural Resources
64,Lee,Department of Natural Resources
1200,Lee,Department of Natural Resources
1200,Lee,Department of Natural Resources
144,Massac,Department of Natural Resources
144,Massac,Department of Natural Resources
144,Massac,Department of Natural Resources
144,Massac,Department of Natural Resources
144,Massac,Department of Natural Resources
20,Massac,Department of Natural Resources
20,Massac,Department of Natural Resources
528,Massac,Department of Natural Resources
810,Massac,Department of Natural Resources
560,Massac,Department of Natural Resources
4000,Massac,Department of Natural Resources
220,Fulton,Department of Natural Resources
2880,Fulton,Department of Natural Resources
2400,Fulton,Department of Natural Resources
2484,Fulton,Department of Natural Resources
2570,Union,Department of Natural Resources
120,Union,Department of Natural Resources
108,Union,Department of Natural Resources
108,Union,Department of Natural Resources
1980,Johnson,Department of Natural Resources
1968,Johnson,Department of Natural Resources
3000,Williamson,Department of Natural Resources
860,Williamson,Department of Natural Resources
2200,Williamson,Department of Natural Resources
2000,Williamson,Department of Natural Resources
400,Williamson,Department of Natural Resources
5000,Williamson,Department of Natural Resources
480,Marshall,Department of Natural Resources
128,Marshall,Department of Natural Resources
96,Marshall,Department of Natural Resources
96,Marshall,Department of Natural Resources
300,Randolph,Department of Natural Resources
18,Randolph,Department of Natural Resources
2160,Randolph,Department of Natural Resources
1815,Randolph,Department of Natural Resources
150,Randolph,Department of Natural Resources
132,Randolph,Department of Natural Resources
2400,Fulton,Department of Natural Resources
400,Fulton,Department of Natural Resources
35,Bureau,Department of Natural Resources
1740,Bureau,Department of Natural Resources
3200,Bureau,Department of Natural Resources
3100,Bureau,Department of Natural Resources
103,Bureau,Department of Natural Resources
720,Bureau,Department of Natural Resources
1200,Bureau,Department of Natural Resources
1800,Putnam,Department of Natural Resources
20,Massac,Department of Natural Resources
2250,Montgomery,Department of Natural Resources
100,Montgomery,Department of Natural Resources
108,Montgomery,Department of Natural Resources
384,Montgomery,Department of Natural Resources
384,Montgomery,Department of Natural Resources
22980,Will,Department of Transportation
384,Montgomery,Department of Natural Resources
108,Montgomery,Department of Natural Resources
576,Jasper,Department of Natural Resources
75,Randolph,Department of Natural Resources
2700,Jefferson,Department of Natural Resources
480,Jefferson,Department of Natural Resources
1200,Jefferson,Department of Natural Resources
4800,Jefferson,Department of Natural Resources
7714,Franklin,Department of Natural Resources
64,Jefferson,Department of Natural Resources
64,Jefferson,Department of Natural Resources
20,Jefferson,Department of Natural Resources
20,Jefferson,Department of Natural Resources
20,Jefferson,Department of Natural Resources
20,Jefferson,Department of Natural Resources
20,Jefferson,Department of Natural Resources
20,Jefferson,Department of Natural Resources
3136,Pike,Department of Natural Resources
1800,Pike,Department of Natural Resources
900,Jefferson,Department of Natural Resources
4480,Franklin,Department of Natural Resources
2400,Henderson,Department of Natural Resources
23040,Will,Department of Transportation
960,Henderson,Department of Natural Resources
1008,Henderson,Department of Natural Resources
2400,Henderson,Department of Natural Resources
1900,Mason,Department of Natural Resources
230,Mason,Department of Natural Resources
1900,Mason,Department of Natural Resources
1600,Mason,Department of Natural Resources
11000,Mason,Department of Natural Resources
3000,Mason,Department of Natural Resources
1700,Mason,Department of Natural Resources
1700,Mason,Department of Natural Resources
120,Mason,Department of Natural Resources
720,Mason,Department of Natural Resources
400,Mason,Department of Natural Resources
4712,Mason,Department of Natural Resources
36000,Mason,Department of Natural Resources
3136,Mason,Department of Natural Resources
3136,Mason,Department of Natural Resources
3136,Mason,Department of Natural Resources
3136,Mason,Department of Natural Resources
4712,Mason,Department of Natural Resources
36,Union,Department of Natural Resources
56,Union,Department of Natural Resources
36,Union,Department of Natural Resources
27,Union,Department of Natural Resources
36,Union,Department of Natural Resources
36,Union,Department of Natural Resources
36,Union,Department of Natural Resources
36,Union,Department of Natural Resources
36,Union,Department of Natural Resources
36,Union,Department of Natural Resources
36,Union,Department of Natural Resources
36,Union,Department of Natural Resources
36,Union,Department of Natural Resources
36,Union,Department of Natural Resources
1800,Union,Department of Natural Resources
1800,Union,Department of Natural Resources
3360,Union,Department of Natural Resources
700,Shelby,Department of Natural Resources
600,Grundy,Department of Natural Resources
12950,Mason,Department of Natural Resources
2080,Mason,Department of Natural Resources
3200,Mason,Department of Natural Resources
3780,Mason,Department of Natural Resources
2300,Cass,Department of Natural Resources
5000,Cass,Department of Natural Resources
1280,Cass,Department of Natural Resources
1566,Cass,Department of Natural Resources
560,Cass,Department of Natural Resources
144,Cass,Department of Natural Resources
144,Cass,Department of Natural Resources
144,Cass,Department of Natural Resources
144,Cass,Department of Natural Resources
144,Cass,Department of Natural Resources
144,Cass,Department of Natural Resources
195,Cass,Department of Natural Resources
195,Cass,Department of Natural Resources
195,Cass,Department of Natural Resources
195,Cass,Department of Natural Resources
195,Cass,Department of Natural Resources
195,Cass,Department of Natural Resources
240,Cass,Department of Natural Resources
240,Cass,Department of Natural Resources
864,Cass,Department of Natural Resources
864,Cass,Department of Natural Resources
144,Cass,Department of Natural Resources
1320,Cass,Department of Natural Resources
144,Cass,Department of Natural Resources
144,Cass,Department of Natural Resources
144,Cass,Department of Natural Resources
1444,Douglas,Department of Natural Resources
676,Douglas,Department of Natural Resources
80,Douglas,Department of Natural Resources
2100,Douglas,Department of Natural Resources
160,Vermilion,Department of Natural Resources
672,Vermilion,Department of Natural Resources
864,Vermilion,Department of Natural Resources
1248,Jo Daviess,Department of Natural Resources
144,Jo Daviess,Department of Natural Resources
3200,Jo Daviess,Department of Natural Resources
875,Jo Daviess,Department of Natural Resources
150,Jo Daviess,Department of Natural Resources
1800,Jo Daviess,Department of Natural Resources
380,Jo Daviess,Department of Natural Resources
4200,Jo Daviess,Department of Natural Resources
100,Jo Daviess,Department of Natural Resources
100,Jo Daviess,Department of Natural Resources
144,Henry,Historic Preservation Agency
12699,Henry,Historic Preservation Agency
4623,Henry,Historic Preservation Agency
7560,Henry,Historic Preservation Agency
361,Henry,Historic Preservation Agency
1080,Henry,Historic Preservation Agency
2028,Henry,Historic Preservation Agency
154,Henry,Historic Preservation Agency
400,Henry,Historic Preservation Agency
8640,Henry,Historic Preservation Agency
1767,Henry,Historic Preservation Agency
1200,Henry,Historic Preservation Agency
3110,Jo Daviess,Department of Natural Resources
200,Jo Daviess,Department of Natural Resources
100,Jo Daviess,Department of Natural Resources
1800,Rock Island,Historic Preservation Agency
1974,Rock Island,Historic Preservation Agency
3500,Rock Island,Historic Preservation Agency
500,Rock Island,Historic Preservation Agency
1570,Rock Island,Historic Preservation Agency
2500,Rock Island,Historic Preservation Agency
26000,Jo Daviess,Department of Natural Resources
900,Rock Island,Historic Preservation Agency
96,Jo Daviess,Department of Natural Resources
1900,Rock Island,Historic Preservation Agency
25000,Rock Island,Historic Preservation Agency
1000,Rock Island,Historic Preservation Agency
100,Rock Island,Historic Preservation Agency
96,Jo Daviess,Department of Natural Resources
800,Rock Island,Historic Preservation Agency
96,Jo Daviess,Department of Natural Resources
96,Jo Daviess,Department of Natural Resources
96,Jo Daviess,Department of Natural Resources
96,Jo Daviess,Department of Natural Resources
96,Jo Daviess,Department of Natural Resources
750,Piatt,Historic Preservation Agency
800,Piatt,Historic Preservation Agency
4900,LaSalle,Department of Natural Resources
2600,LaSalle,Department of Natural Resources
255,LaSalle,Department of Natural Resources
2272,LaSalle,Department of Natural Resources
630,LaSalle,Department of Natural Resources
9100,St. Clair,Historic Preservation Agency
1920,St. Clair,Historic Preservation Agency
1800,St. Clair,Historic Preservation Agency
960,St. Clair,Historic Preservation Agency
33000,St. Clair,Historic Preservation Agency
800,St. Clair,Historic Preservation Agency
2475,St. Clair,Historic Preservation Agency
60,Pope,Department of Natural Resources
1025,Hardin,Department of Natural Resources
2216,Hardin,Department of Natural Resources
1264,Hardin,Department of Natural Resources
1958,DeWitt,Department of Natural Resources
2135,DeWitt,Department of Natural Resources
121,DeWitt,Department of Natural Resources
1800,DeWitt,Department of Natural Resources
4200,Pope,Department of Natural Resources
18,Johnson,Department of Natural Resources
18,Johnson,Department of Natural Resources
1309,Macon,Department of Natural Resources
1200,Macon,Department of Natural Resources
80,Macon,Department of Natural Resources
80,Macon,Department of Natural Resources
1250,Macon,Department of Natural Resources
640,Johnson,Department of Natural Resources
36,Johnson,Department of Natural Resources
200,Johnson,Department of Natural Resources
960,Johnson,Department of Natural Resources
640,Johnson,Department of Natural Resources
984,Johnson,Department of Natural Resources
1800,Johnson,Department of Natural Resources
72,Johnson,Department of Natural Resources
72,Johnson,Department of Natural Resources
1050,Cook,Historic Preservation Agency
150,Cook,Historic Preservation Agency
1200,Randolph,Historic Preservation Agency
3200,Randolph,Historic Preservation Agency
3200,Randolph,Historic Preservation Agency
3200,Randolph,Historic Preservation Agency
3600,Randolph,Historic Preservation Agency
1260,Randolph,Historic Preservation Agency
150,Massac,Department of Natural Resources
800,Randolph,Historic Preservation Agency
2400,Randolph,Historic Preservation Agency
3594,Randolph,Historic Preservation Agency
385,Randolph,Historic Preservation Agency
392,Randolph,Historic Preservation Agency
846,Randolph,Historic Preservation Agency
216,Randolph,Historic Preservation Agency
2100,Randolph,Historic Preservation Agency
400,Randolph,Historic Preservation Agency
2170,Randolph,Historic Preservation Agency
54,Randolph,Historic Preservation Agency
54,Randolph,Historic Preservation Agency
54,Randolph,Historic Preservation Agency
9,Randolph,Historic Preservation Agency
9,Randolph,Historic Preservation Agency
1150,Massac,Department of Natural Resources
42,Coles,Department of Natural Resources
500,Massac,Department of Natural Resources
42,Coles,Department of Natural Resources
42,Coles,Department of Natural Resources
42,Coles,Department of Natural Resources
42,Coles,Department of Natural Resources
42,Coles,Department of Natural Resources
42,Coles,Department of Natural Resources
42,Coles,Department of Natural Resources
280,Coles,Department of Natural Resources
280,Coles,Department of Natural Resources
144,Coles,Department of Natural Resources
1980,Coles,Department of Natural Resources
933,Coles,Department of Natural Resources
3500,Coles,Department of Natural Resources
875,Coles,Department of Natural Resources
154,Coles,Department of Natural Resources
396,Coles,Department of Natural Resources
1922,Coles,Department of Natural Resources
2430,Coles,Department of Natural Resources
100,Jackson,Department of Natural Resources
24,Jackson,Department of Natural Resources
1276,Jackson,Department of Natural Resources
24,Jackson,Department of Natural Resources
24,Jackson,Department of Natural Resources
24,Jackson,Department of Natural Resources
24,Jackson,Department of Natural Resources
78,Jackson,Department of Natural Resources
78,Jackson,Department of Natural Resources
78,Jackson,Department of Natural Resources
78,Jackson,Department of Natural Resources
500,Jackson,Department of Natural Resources
60,Jackson,Department of Natural Resources
24,Jackson,Department of Natural Resources
24,Jackson,Department of Natural Resources
64,Jackson,Department of Natural Resources
64,Jackson,Department of Natural Resources
24,Jackson,Department of Natural Resources
24,Jackson,Department of Natural Resources
18,Jackson,Department of Natural Resources
18,Jackson,Department of Natural Resources
24,Jackson,Department of Natural Resources
24,Jackson,Department of Natural Resources
24,Jackson,Department of Natural Resources
50,Jackson,Department of Natural Resources
600,Jackson,Department of Natural Resources
400,Jackson,Department of Natural Resources
3550,Jackson,Department of Natural Resources
1006,Jackson,Department of Natural Resources
1800,Jackson,Department of Natural Resources
970,Jackson,Department of Natural Resources
24,Jackson,Department of Natural Resources
24,Jackson,Department of Natural Resources
24,Jackson,Department of Natural Resources
24,Jackson,Department of Natural Resources
144,Jackson,Department of Natural Resources
42,Coles,Department of Natural Resources
42,Coles,Department of Natural Resources
42,Coles,Department of Natural Resources
42,Coles,Department of Natural Resources
42,Coles,Department of Natural Resources
42,Coles,Department of Natural Resources
42,Coles,Department of Natural Resources
9663,Jackson,Department of Natural Resources
144,Jackson,Department of Natural Resources
1908,Jackson,Department of Natural Resources
288,Jackson,Department of Natural Resources
1918,Jackson,Department of Natural Resources
144,Jackson,Department of Natural Resources
144,Jackson,Department of Natural Resources
672,Jackson,Department of Natural Resources
3800,Jackson,Department of Natural Resources
4725,Jackson,Department of Natural Resources
144,Jackson,Department of Natural Resources
144,Jackson,Department of Natural Resources
2304,St. Clair,Department of Natural Resources
77,St. Clair,Department of Natural Resources
1050,St. Clair,Department of Natural Resources
77,St. Clair,Department of Natural Resources
1050,St. Clair,Department of Natural Resources
1200,St. Clair,Department of Natural Resources
150,St. Clair,Department of Natural Resources
1200,St. Clair,Department of Natural Resources
1200,St. Clair,Department of Natural Resources
1200,St. Clair,Department of Natural Resources
77,St. Clair,Department of Natural Resources
77,St. Clair,Department of Natural Resources
77,St. Clair,Department of Natural Resources
104,St. Clair,Department of Natural Resources
104,St. Clair,Department of Natural Resources
104,St. Clair,Department of Natural Resources
104,St. Clair,Department of Natural Resources
104,St. Clair,Department of Natural Resources
104,St. Clair,Department of Natural Resources
104,St. Clair,Department of Natural Resources
144,Jackson,Department of Natural Resources
144,Jackson,Department of Natural Resources
144,Jackson,Department of Natural Resources
144,Jackson,Department of Natural Resources
144,Jackson,Department of Natural Resources
144,Jackson,Department of Natural Resources
144,Jackson,Department of Natural Resources
4847,Jo Daviess,Historic Preservation Agency
144,Jackson,Department of Natural Resources
4088,Jo Daviess,Historic Preservation Agency
924,Jo Daviess,Historic Preservation Agency
500,Jo Daviess,Historic Preservation Agency
2224,Jo Daviess,Historic Preservation Agency
600,Jo Daviess,Historic Preservation Agency
1120,Jo Daviess,Historic Preservation Agency
2010,Jo Daviess,Historic Preservation Agency
720,Jo Daviess,Historic Preservation Agency
2325,Jo Daviess,Historic Preservation Agency
162,Jo Daviess,Historic Preservation Agency
270,Jo Daviess,Historic Preservation Agency
160,Jo Daviess,Historic Preservation Agency
600,Jo Daviess,Historic Preservation Agency
1470,LaSalle,Department of Natural Resources
630,LaSalle,Department of Natural Resources
2430,LaSalle,Department of Natural Resources
624,LaSalle,Department of Natural Resources
826,LaSalle,Department of Natural Resources
780,LaSalle,Department of Natural Resources
1500,LaSalle,Department of Natural Resources
0,LaSalle,Department of Natural Resources
506,LaSalle,Department of Natural Resources
80,LaSalle,Department of Natural Resources
80,LaSalle,Department of Natural Resources
80,LaSalle,Department of Natural Resources
80,LaSalle,Department of Natural Resources
80,LaSalle,Department of Natural Resources
80,LaSalle,Department of Natural Resources
80,LaSalle,Department of Natural Resources
80,LaSalle,Department of Natural Resources
5000,St. Clair,Department of Natural Resources
1768,Lake,Department of Natural Resources
1040,Lake,Department of Natural Resources
288,Lake,Department of Natural Resources
420,Lake,Department of Natural Resources
234,Lake,Department of Natural Resources
840,Lake,Department of Natural Resources
2640,Lake,Department of Natural Resources
450,Kankakee,Department of Natural Resources
144,Kankakee,Department of Natural Resources
144,Kankakee,Department of Natural Resources
144,Kankakee,Department of Natural Resources
144,Kankakee,Department of Natural Resources
144,Kankakee,Department of Natural Resources
144,Kankakee,Department of Natural Resources
144,Kankakee,Department of Natural Resources
144,Kankakee,Department of Natural Resources
320,Coles,Historic Preservation Agency
144,Kankakee,Department of Natural Resources
1500,Kankakee,Department of Natural Resources
144,Kankakee,Department of Natural Resources
144,Kankakee,Department of Natural Resources
960,Lake,Department of Natural Resources
10836,Lake,Department of Natural Resources
1736,Lake,Department of Natural Resources
1680,Lake,Department of Natural Resources
660,Lake,Department of Natural Resources
84,Lake,Department of Natural Resources
48,Lake,Department of Natural Resources
192,Lake,Department of Natural Resources
840,Lake,Department of Natural Resources
144,Kankakee,Department of Natural Resources
476,Lake,Department of Natural Resources
2140,Peoria,Historic Preservation Agency
1680,Peoria,Historic Preservation Agency
20221,Peoria,Historic Preservation Agency
144,Kankakee,Department of Natural Resources
600,Peoria,Historic Preservation Agency
306,Peoria,Historic Preservation Agency
192,Peoria,Historic Preservation Agency
192,Peoria,Historic Preservation Agency
144,Kankakee,Department of Natural Resources
966,Kankakee,Department of Natural Resources
1675,Kankakee,Department of Natural Resources
144,Kankakee,Department of Natural Resources
625,Kankakee,Department of Natural Resources
7200,Kankakee,Department of Natural Resources
920,Kankakee,Department of Natural Resources
2684,Peoria,Department of Natural Resources
144,Kankakee,Department of Natural Resources
144,Kankakee,Department of Natural Resources
1125,Kankakee,Department of Natural Resources
144,Kankakee,Department of Natural Resources
3600,Kankakee,Department of Natural Resources
352,Vermilion,Department of Natural Resources
680,Macon,Department of Natural Resources
1860,Macon,Department of Natural Resources
700,Macon,Department of Natural Resources
160,Macon,Department of Natural Resources
576,Macon,Department of Natural Resources
30,Macon,Department of Natural Resources
972,Coles,Historic Preservation Agency
828,Coles,Historic Preservation Agency
128,Coles,Historic Preservation Agency
177,Coles,Historic Preservation Agency
95,Coles,Historic Preservation Agency
1200,Coles,Historic Preservation Agency
1537,Coles,Historic Preservation Agency
608,Coles,Historic Preservation Agency
645,Coles,Historic Preservation Agency
1185,Coles,Historic Preservation Agency
1404,Coles,Historic Preservation Agency
900,Coles,Historic Preservation Agency
300,Coles,Historic Preservation Agency
200,Coles,Historic Preservation Agency
1100,Coles,Historic Preservation Agency
240,Coles,Historic Preservation Agency
1600,Coles,Historic Preservation Agency
350,Coles,Historic Preservation Agency
300,Coles,Historic Preservation Agency
80,Coles,Historic Preservation Agency
38,Coles,Historic Preservation Agency
18800,Coles,Historic Preservation Agency
950,Lee,Historic Preservation Agency
120,Coles,Historic Preservation Agency
120,Coles,Historic Preservation Agency
96,Wayne,Department of Natural Resources
80,Coles,Historic Preservation Agency
100,Coles,Historic Preservation Agency
100,Coles,Historic Preservation Agency
1152,Coles,Historic Preservation Agency
1800,Coles,Historic Preservation Agency
1700,Sangamon,Historic Preservation Agency
1450,Sangamon,Historic Preservation Agency
6600,Sangamon,Historic Preservation Agency
1000,Sangamon,Historic Preservation Agency
308,Sangamon,Historic Preservation Agency
40,Ogle,Department of Natural Resources
40,Ogle,Department of Natural Resources
220,Ogle,Department of Natural Resources
300,Ogle,Department of Natural Resources
2400,Ogle,Department of Natural Resources
40,Ogle,Department of Natural Resources
30,Ogle,Department of Natural Resources
3616,Jo Daviess,Historic Preservation Agency
2322,Jo Daviess,Historic Preservation Agency
840,LaSalle,Department of Natural Resources
2545,LaSalle,Department of Natural Resources
3106,LaSalle,Department of Natural Resources
2526,LaSalle,Department of Natural Resources
730,LaSalle,Department of Natural Resources
273,LaSalle,Department of Natural Resources
2652,LaSalle,Department of Natural Resources
288,LaSalle,Department of Natural Resources
28,LaSalle,Department of Natural Resources
56,LaSalle,Department of Natural Resources
144,LaSalle,Department of Natural Resources
256,LaSalle,Department of Natural Resources
256,LaSalle,Department of Natural Resources
56,LaSalle,Department of Natural Resources
28,LaSalle,Department of Natural Resources
1692,LaSalle,Department of Natural Resources
20,LaSalle,Department of Natural Resources
1350,LaSalle,Department of Natural Resources
150,Carroll,Department of Natural Resources
150,Carroll,Department of Natural Resources
25,Carroll,Department of Natural Resources
4252,Woodford,Historic Preservation Agency
140,Woodford,Historic Preservation Agency
36,Carroll,Department of Natural Resources
49,Carroll,Department of Natural Resources
64,Carroll,Department of Natural Resources
300,Carroll,Department of Natural Resources
200,Carroll,Department of Natural Resources
120,Carroll,Department of Natural Resources
120,Carroll,Department of Natural Resources
120,Carroll,Department of Natural Resources
120,Carroll,Department of Natural Resources
25,Carroll,Department of Natural Resources
25,Carroll,Department of Natural Resources
676,Carroll,Department of Natural Resources
