country,year,country,year,country
Cambodia,1967,Cambodia,1967,Cambodia
Cameroon,1967,Cameroon,1967,Cameroon
Canada,1967,Canada,1967,Canada
Cape Verde,1967,Cape Verde,1967,Cape Verde
Central African Republic,1967,Central African Republic,1967,Central African Republic
Chad,1967,Chad,1967,Chad
Chile,1967,Chile,1967,Chile
China,1967,China,1967,China
Colombia,1967,Colombia,1967,Colombia
Comoros,1967,Comoros,1967,Comoros
"Congo, Dem. Rep.",1967,"Congo, Dem. Rep.",1967,"Congo, Dem. Rep."
"Congo, Rep.",1967,"Congo, Rep.",1967,"Congo, Rep."
Costa Rica,1967,Costa Rica,1967,Costa Rica
Cote d'Ivoire,1967,Cote d'Ivoire,1967,Cote d'Ivoire
Croatia,1967,Croatia,1967,Croatia
Cuba,1967,Cuba,1967,Cuba
Cyprus,1967,Cyprus,1967,Cyprus
Czech Republic,1967,Czech Republic,1967,Czech Republic
Denmark,1967,Denmark,1967,Denmark
Djibouti,1967,Djibouti,1967,Djibouti
Dominica,1967,Dominica,1967,Dominica
Dominican Republic,1967,Dominican Republic,1967,Dominican Republic
Ecuador,1967,Ecuador,1967,Ecuador
Egypt,1967,Egypt,1967,Egypt
El Salvador,1967,El Salvador,1967,El Salvador
Equatorial Guinea,1967,Equatorial Guinea,1967,Equatorial Guinea
Eritrea,1967,Eritrea,1967,Eritrea
Estonia,1967,Estonia,1967,Estonia
Ethiopia,1967,Ethiopia,1967,Ethiopia
Fiji,1967,Fiji,1967,Fiji
Finland,1967,Finland,1967,Finland
France,1967,France,1967,France
Gabon,1967,Gabon,1967,Gabon
Gambia,1967,Gambia,1967,Gambia
Georgia,1967,Georgia,1967,Georgia
Germany,1967,Germany,1967,Germany
Ghana,1967,Ghana,1967,Ghana
Greece,1967,Greece,1967,Greece
Grenada,1967,Grenada,1967,Grenada
Guatemala,1967,Guatemala,1967,Guatemala
Guinea,1967,Guinea,1967,Guinea
Guinea-Bissau,1967,Guinea-Bissau,1967,Guinea-Bissau
Guyana,1967,Guyana,1967,Guyana
Haiti,1967,Haiti,1967,Haiti
Honduras,1967,Honduras,1967,Honduras
Hungary,1967,Hungary,1967,Hungary
Iceland,1967,Iceland,1967,Iceland
India,1967,India,1967,India
Indonesia,1967,Indonesia,1967,Indonesia
Iran,1967,Iran,1967,Iran
Iraq,1967,Iraq,1967,Iraq
Ireland,1967,Ireland,1967,Ireland
Israel,1967,Israel,1967,Israel
Italy,1967,Italy,1967,Italy
Jamaica,1967,Jamaica,1967,Jamaica
Japan,1967,Japan,1967,Japan
Jordan,1967,Jordan,1967,Jordan
Kazakhstan,1967,Kazakhstan,1967,Kazakhstan
Kenya,1967,Kenya,1967,Kenya
Kiribati,1967,Kiribati,1967,Kiribati
Kuwait,1967,Kuwait,1967,Kuwait
Kyrgyz Republic,1967,Kyrgyz Republic,1967,Kyrgyz Republic
Lao,1967,Lao,1967,Lao
Latvia,1967,Latvia,1967,Latvia
Lebanon,1967,Lebanon,1967,Lebanon
Lesotho,1967,Lesotho,1967,Lesotho
Liberia,1967,Liberia,1967,Liberia
Libya,1967,Libya,1967,Libya
Lithuania,1967,Lithuania,1967,Lithuania
Luxembourg,1967,Luxembourg,1967,Luxembourg
"Macedonia, FYR",1967,"Macedonia, FYR",1967,"Macedonia, FYR"
Madagascar,1967,Madagascar,1967,Madagascar
Malawi,1967,Malawi,1967,Malawi
Malaysia,1967,Malaysia,1967,Malaysia
Maldives,1967,Maldives,1967,Maldives
Mali,1967,Mali,1967,Mali
Malta,1967,Malta,1967,Malta
Marshall Islands,1967,Marshall Islands,1967,Marshall Islands
Mauritania,1967,Mauritania,1967,Mauritania
Mauritius,1967,Mauritius,1967,Mauritius
Mexico,1967,Mexico,1967,Mexico
"Micronesia, Fed. Sts.",1967,"Micronesia, Fed. Sts.",1967,"Micronesia, Fed. Sts."
Moldova,1967,Moldova,1967,Moldova
Mongolia,1967,Mongolia,1967,Mongolia
Montenegro,1967,Montenegro,1967,Montenegro
Morocco,1967,Morocco,1967,Morocco
Mozambique,1967,Mozambique,1967,Mozambique
Myanmar,1967,Myanmar,1967,Myanmar
Namibia,1967,Namibia,1967,Namibia
Nepal,1967,Nepal,1967,Nepal
Netherlands,1967,Netherlands,1967,Netherlands
New Zealand,1967,New Zealand,1967,New Zealand
Nicaragua,1967,Nicaragua,1967,Nicaragua
Niger,1967,Niger,1967,Niger
Nigeria,1967,Nigeria,1967,Nigeria
North Korea,1967,North Korea,1967,North Korea
Norway,1967,Norway,1967,Norway
Oman,1967,Oman,1967,Oman
Pakistan,1967,Pakistan,1967,Pakistan
Palestine,1967,Palestine,1967,Palestine
Panama,1967,Panama,1967,Panama
Papua New Guinea,1967,Papua New Guinea,1967,Papua New Guinea
Paraguay,1967,Paraguay,1967,Paraguay
Peru,1967,Peru,1967,Peru
Philippines,1967,Philippines,1967,Philippines
Poland,1967,Poland,1967,Poland
Portugal,1967,Portugal,1967,Portugal
Qatar,1967,Qatar,1967,Qatar
Romania,1967,Romania,1967,Romania
Russia,1967,Russia,1967,Russia
Rwanda,1967,Rwanda,1967,Rwanda
Samoa,1967,Samoa,1967,Samoa
Sao Tome and Principe,1967,Sao Tome and Principe,1967,Sao Tome and Principe
Saudi Arabia,1967,Saudi Arabia,1967,Saudi Arabia
Senegal,1967,Senegal,1967,Senegal
Serbia,1967,Serbia,1967,Serbia
Seychelles,1967,Seychelles,1967,Seychelles
Sierra Leone,1967,Sierra Leone,1967,Sierra Leone
Singapore,1967,Singapore,1967,Singapore
Slovak Republic,1967,Slovak Republic,1967,Slovak Republic
Slovenia,1967,Slovenia,1967,Slovenia
Solomon Islands,1967,Solomon Islands,1967,Solomon Islands
Somalia,1967,Somalia,1967,Somalia
South Africa,1967,South Africa,1967,South Africa
South Korea,1967,South Korea,1967,South Korea
South Sudan,1967,South Sudan,1967,South Sudan
Spain,1967,Spain,1967,Spain
Sri Lanka,1967,Sri Lanka,1967,Sri Lanka
St. Lucia,1967,St. Lucia,1967,St. Lucia
St. Vincent and the Grenadines,1967,St. Vincent and the Grenadines,1967,St. Vincent and the Grenadines
Sudan,1967,Sudan,1967,Sudan
Suriname,1967,Suriname,1967,Suriname
Swaziland,1967,Swaziland,1967,Swaziland
Sweden,1967,Sweden,1967,Sweden
Switzerland,1967,Switzerland,1967,Switzerland
Syria,1967,Syria,1967,Syria
Tajikistan,1967,Tajikistan,1967,Tajikistan
Tanzania,1967,Tanzania,1967,Tanzania
Thailand,1967,Thailand,1967,Thailand
Timor-Leste,1967,Timor-Leste,1967,Timor-Leste
Togo,1967,Togo,1967,Togo
Tonga,1967,Tonga,1967,Tonga
Trinidad and Tobago,1967,Trinidad and Tobago,1967,Trinidad and Tobago
Tunisia,1967,Tunisia,1967,Tunisia
Turkey,1967,Turkey,1967,Turkey
Turkmenistan,1967,Turkmenistan,1967,Turkmenistan
Uganda,1967,Uganda,1967,Uganda
Ukraine,1967,Ukraine,1967,Ukraine
United Arab Emirates,1967,United Arab Emirates,1967,United Arab Emirates
United Kingdom,1967,United Kingdom,1967,United Kingdom
United States,1967,United States,1967,United States
Uruguay,1967,Uruguay,1967,Uruguay
Uzbekistan,1967,Uzbekistan,1967,Uzbekistan
Vanuatu,1967,Vanuatu,1967,Vanuatu
Venezuela,1967,Venezuela,1967,Venezuela
Vietnam,1967,Vietnam,1967,Vietnam
Yemen,1967,Yemen,1967,Yemen
Zambia,1967,Zambia,1967,Zambia
Zimbabwe,1967,Zimbabwe,1967,Zimbabwe
Afghanistan,1972,Afghanistan,1972,Afghanistan
Albania,1972,Albania,1972,Albania
Algeria,1972,Algeria,1972,Algeria
Andorra,1972,Andorra,1972,Andorra
Angola,1972,Angola,1972,Angola
Antigua and Barbuda,1972,Antigua and Barbuda,1972,Antigua and Barbuda
Argentina,1972,Argentina,1972,Argentina
Armenia,1972,Armenia,1972,Armenia
Australia,1972,Australia,1972,Australia
Austria,1972,Austria,1972,Austria
Azerbaijan,1972,Azerbaijan,1972,Azerbaijan
Bahamas,1972,Bahamas,1972,Bahamas
Bahrain,1972,Bahrain,1972,Bahrain
Bangladesh,1972,Bangladesh,1972,Bangladesh
Barbados,1972,Barbados,1972,Barbados
Belarus,1972,Belarus,1972,Belarus
Belgium,1972,Belgium,1972,Belgium
Belize,1972,Belize,1972,Belize
Benin,1972,Benin,1972,Benin
Bhutan,1972,Bhutan,1972,Bhutan
Bolivia,1972,Bolivia,1972,Bolivia
Bosnia and Herzegovina,1972,Bosnia and Herzegovina,1972,Bosnia and Herzegovina
Botswana,1972,Botswana,1972,Botswana
Brazil,1972,Brazil,1972,Brazil
Brunei,1972,Brunei,1972,Brunei
Bulgaria,1972,Bulgaria,1972,Bulgaria
Burkina Faso,1972,Burkina Faso,1972,Burkina Faso
Burundi,1972,Burundi,1972,Burundi
Cambodia,1972,Cambodia,1972,Cambodia
Cameroon,1972,Cameroon,1972,Cameroon
Canada,1972,Canada,1972,Canada
Cape Verde,1972,Cape Verde,1972,Cape Verde
Central African Republic,1972,Central African Republic,1972,Central African Republic
Chad,1972,Chad,1972,Chad
Chile,1972,Chile,1972,Chile
China,1972,China,1972,China
Colombia,1972,Colombia,1972,Colombia
Comoros,1972,Comoros,1972,Comoros
"Congo, Dem. Rep.",1972,"Congo, Dem. Rep.",1972,"Congo, Dem. Rep."
"Congo, Rep.",1972,"Congo, Rep.",1972,"Congo, Rep."
Costa Rica,1972,Costa Rica,1972,Costa Rica
Cote d'Ivoire,1972,Cote d'Ivoire,1972,Cote d'Ivoire
Croatia,1972,Croatia,1972,Croatia
Cuba,1972,Cuba,1972,Cuba
Cyprus,1972,Cyprus,1972,Cyprus
Czech Republic,1972,Czech Republic,1972,Czech Republic
Denmark,1972,Denmark,1972,Denmark
Djibouti,1972,Djibouti,1972,Djibouti
Dominica,1972,Dominica,1972,Dominica
Dominican Republic,1972,Dominican Republic,1972,Dominican Republic
Ecuador,1972,Ecuador,1972,Ecuador
Egypt,1972,Egypt,1972,Egypt
El Salvador,1972,El Salvador,1972,El Salvador
Equatorial Guinea,1972,Equatorial Guinea,1972,Equatorial Guinea
Eritrea,1972,Eritrea,1972,Eritrea
Estonia,1972,Estonia,1972,Estonia
Ethiopia,1972,Ethiopia,1972,Ethiopia
Fiji,1972,Fiji,1972,Fiji
Finland,1972,Finland,1972,Finland
France,1972,France,1972,France
Gabon,1972,Gabon,1972,Gabon
Gambia,1972,Gambia,1972,Gambia
Georgia,1972,Georgia,1972,Georgia
Germany,1972,Germany,1972,Germany
Ghana,1972,Ghana,1972,Ghana
Greece,1972,Greece,1972,Greece
Grenada,1972,Grenada,1972,Grenada
Guatemala,1972,Guatemala,1972,Guatemala
Guinea,1972,Guinea,1972,Guinea
Guinea-Bissau,1972,Guinea-Bissau,1972,Guinea-Bissau
Guyana,1972,Guyana,1972,Guyana
Haiti,1972,Haiti,1972,Haiti
Honduras,1972,Honduras,1972,Honduras
Hungary,1972,Hungary,1972,Hungary
Iceland,1972,Iceland,1972,Iceland
India,1972,India,1972,India
Indonesia,1972,Indonesia,1972,Indonesia
Iran,1972,Iran,1972,Iran
Iraq,1972,Iraq,1972,Iraq
Ireland,1972,Ireland,1972,Ireland
Israel,1972,Israel,1972,Israel
Italy,1972,Italy,1972,Italy
Jamaica,1972,Jamaica,1972,Jamaica
Japan,1972,Japan,1972,Japan
Jordan,1972,Jordan,1972,Jordan
Kazakhstan,1972,Kazakhstan,1972,Kazakhstan
Kenya,1972,Kenya,1972,Kenya
Kiribati,1972,Kiribati,1972,Kiribati
Kuwait,1972,Kuwait,1972,Kuwait
Kyrgyz Republic,1972,Kyrgyz Republic,1972,Kyrgyz Republic
Lao,1972,Lao,1972,Lao
Latvia,1972,Latvia,1972,Latvia
Lebanon,1972,Lebanon,1972,Lebanon
Lesotho,1972,Lesotho,1972,Lesotho
Liberia,1972,Liberia,1972,Liberia
Libya,1972,Libya,1972,Libya
Lithuania,1972,Lithuania,1972,Lithuania
Luxembourg,1972,Luxembourg,1972,Luxembourg
"Macedonia, FYR",1972,"Macedonia, FYR",1972,"Macedonia, FYR"
Madagascar,1972,Madagascar,1972,Madagascar
Malawi,1972,Malawi,1972,Malawi
Malaysia,1972,Malaysia,1972,Malaysia
Maldives,1972,Maldives,1972,Maldives
Mali,1972,Mali,1972,Mali
Malta,1972,Malta,1972,Malta
Marshall Islands,1972,Marshall Islands,1972,Marshall Islands
Mauritania,1972,Mauritania,1972,Mauritania
Mauritius,1972,Mauritius,1972,Mauritius
Mexico,1972,Mexico,1972,Mexico
"Micronesia, Fed. Sts.",1972,"Micronesia, Fed. Sts.",1972,"Micronesia, Fed. Sts."
Moldova,1972,Moldova,1972,Moldova
Mongolia,1972,Mongolia,1972,Mongolia
Montenegro,1972,Montenegro,1972,Montenegro
Morocco,1972,Morocco,1972,Morocco
Mozambique,1972,Mozambique,1972,Mozambique
Myanmar,1972,Myanmar,1972,Myanmar
Namibia,1972,Namibia,1972,Namibia
Nepal,1972,Nepal,1972,Nepal
Netherlands,1972,Netherlands,1972,Netherlands
New Zealand,1972,New Zealand,1972,New Zealand
Nicaragua,1972,Nicaragua,1972,Nicaragua
Niger,1972,Niger,1972,Niger
Nigeria,1972,Nigeria,1972,Nigeria
North Korea,1972,North Korea,1972,North Korea
Norway,1972,Norway,1972,Norway
Oman,1972,Oman,1972,Oman
Pakistan,1972,Pakistan,1972,Pakistan
Palestine,1972,Palestine,1972,Palestine
Panama,1972,Panama,1972,Panama
Papua New Guinea,1972,Papua New Guinea,1972,Papua New Guinea
Paraguay,1972,Paraguay,1972,Paraguay
Peru,1972,Peru,1972,Peru
Philippines,1972,Philippines,1972,Philippines
Poland,1972,Poland,1972,Poland
Portugal,1972,Portugal,1972,Portugal
Qatar,1972,Qatar,1972,Qatar
Romania,1972,Romania,1972,Romania
Russia,1972,Russia,1972,Russia
Rwanda,1972,Rwanda,1972,Rwanda
Samoa,1972,Samoa,1972,Samoa
Sao Tome and Principe,1972,Sao Tome and Principe,1972,Sao Tome and Principe
Saudi Arabia,1972,Saudi Arabia,1972,Saudi Arabia
Senegal,1972,Senegal,1972,Senegal
Serbia,1972,Serbia,1972,Serbia
Seychelles,1972,Seychelles,1972,Seychelles
Sierra Leone,1972,Sierra Leone,1972,Sierra Leone
Singapore,1972,Singapore,1972,Singapore
Slovak Republic,1972,Slovak Republic,1972,Slovak Republic
Slovenia,1972,Slovenia,1972,Slovenia
Solomon Islands,1972,Solomon Islands,1972,Solomon Islands
Somalia,1972,Somalia,1972,Somalia
South Africa,1972,South Africa,1972,South Africa
South Korea,1972,South Korea,1972,South Korea
South Sudan,1972,South Sudan,1972,South Sudan
Spain,1972,Spain,1972,Spain
Sri Lanka,1972,Sri Lanka,1972,Sri Lanka
St. Lucia,1972,St. Lucia,1972,St. Lucia
St. Vincent and the Grenadines,1972,St. Vincent and the Grenadines,1972,St. Vincent and the Grenadines
Sudan,1972,Sudan,1972,Sudan
Suriname,1972,Suriname,1972,Suriname
Swaziland,1972,Swaziland,1972,Swaziland
Sweden,1972,Sweden,1972,Sweden
Switzerland,1972,Switzerland,1972,Switzerland
Syria,1972,Syria,1972,Syria
Tajikistan,1972,Tajikistan,1972,Tajikistan
Tanzania,1972,Tanzania,1972,Tanzania
Thailand,1972,Thailand,1972,Thailand
Timor-Leste,1972,Timor-Leste,1972,Timor-Leste
Togo,1972,Togo,1972,Togo
Tonga,1972,Tonga,1972,Tonga
Trinidad and Tobago,1972,Trinidad and Tobago,1972,Trinidad and Tobago
Tunisia,1972,Tunisia,1972,Tunisia
Turkey,1972,Turkey,1972,Turkey
Turkmenistan,1972,Turkmenistan,1972,Turkmenistan
Uganda,1972,Uganda,1972,Uganda
Ukraine,1972,Ukraine,1972,Ukraine
United Arab Emirates,1972,United Arab Emirates,1972,United Arab Emirates
United Kingdom,1972,United Kingdom,1972,United Kingdom
United States,1972,United States,1972,United States
Uruguay,1972,Uruguay,1972,Uruguay
Uzbekistan,1972,Uzbekistan,1972,Uzbekistan
Vanuatu,1972,Vanuatu,1972,Vanuatu
Venezuela,1972,Venezuela,1972,Venezuela
Vietnam,1972,Vietnam,1972,Vietnam
Yemen,1972,Yemen,1972,Yemen
Zambia,1972,Zambia,1972,Zambia
Zimbabwe,1972,Zimbabwe,1972,Zimbabwe
Afghanistan,1977,Afghanistan,1977,Afghanistan
Albania,1977,Albania,1977,Albania
Algeria,1977,Algeria,1977,Algeria
Andorra,1977,Andorra,1977,Andorra
Angola,1977,Angola,1977,Angola
Antigua and Barbuda,1977,Antigua and Barbuda,1977,Antigua and Barbuda
Argentina,1977,Argentina,1977,Argentina
Armenia,1977,Armenia,1977,Armenia
Australia,1977,Australia,1977,Australia
Austria,1977,Austria,1977,Austria
Azerbaijan,1977,Azerbaijan,1977,Azerbaijan
Bahamas,1977,Bahamas,1977,Bahamas
Bahrain,1977,Bahrain,1977,Bahrain
Bangladesh,1977,Bangladesh,1977,Bangladesh
Barbados,1977,Barbados,1977,Barbados
Belarus,1977,Belarus,1977,Belarus
Belgium,1977,Belgium,1977,Belgium
Belize,1977,Belize,1977,Belize
Benin,1977,Benin,1977,Benin
Bhutan,1977,Bhutan,1977,Bhutan
Bolivia,1977,Bolivia,1977,Bolivia
Bosnia and Herzegovina,1977,Bosnia and Herzegovina,1977,Bosnia and Herzegovina
Botswana,1977,Botswana,1977,Botswana
Brazil,1977,Brazil,1977,Brazil
Brunei,1977,Brunei,1977,Brunei
Bulgaria,1977,Bulgaria,1977,Bulgaria
Burkina Faso,1977,Burkina Faso,1977,Burkina Faso
Burundi,1977,Burundi,1977,Burundi
Cambodia,1977,Cambodia,1977,Cambodia
Cameroon,1977,Cameroon,1977,Cameroon
Canada,1977,Canada,1977,Canada
Cape Verde,1977,Cape Verde,1977,Cape Verde
Central African Republic,1977,Central African Republic,1977,Central African Republic
Chad,1977,Chad,1977,Chad
Chile,1977,Chile,1977,Chile
China,1977,China,1977,China
Colombia,1977,Colombia,1977,Colombia
Comoros,1977,Comoros,1977,Comoros
"Congo, Dem. Rep.",1977,"Congo, Dem. Rep.",1977,"Congo, Dem. Rep."
"Congo, Rep.",1977,"Congo, Rep.",1977,"Congo, Rep."
Costa Rica,1977,Costa Rica,1977,Costa Rica
Cote d'Ivoire,1977,Cote d'Ivoire,1977,Cote d'Ivoire
Croatia,1977,Croatia,1977,Croatia
Cuba,1977,Cuba,1977,Cuba
Cyprus,1977,Cyprus,1977,Cyprus
Czech Republic,1977,Czech Republic,1977,Czech Republic
Denmark,1977,Denmark,1977,Denmark
Djibouti,1977,Djibouti,1977,Djibouti
Dominica,1977,Dominica,1977,Dominica
Dominican Republic,1977,Dominican Republic,1977,Dominican Republic
Ecuador,1977,Ecuador,1977,Ecuador
Egypt,1977,Egypt,1977,Egypt
El Salvador,1977,El Salvador,1977,El Salvador
Equatorial Guinea,1977,Equatorial Guinea,1977,Equatorial Guinea
Eritrea,1977,Eritrea,1977,Eritrea
Estonia,1977,Estonia,1977,Estonia
Ethiopia,1977,Ethiopia,1977,Ethiopia
Fiji,1977,Fiji,1977,Fiji
Finland,1977,Finland,1977,Finland
France,1977,France,1977,France
Gabon,1977,Gabon,1977,Gabon
Gambia,1977,Gambia,1977,Gambia
Georgia,1977,Georgia,1977,Georgia
Germany,1977,Germany,1977,Germany
Ghana,1977,Ghana,1977,Ghana
Greece,1977,Greece,1977,Greece
Grenada,1977,Grenada,1977,Grenada
Guatemala,1977,Guatemala,1977,Guatemala
Guinea,1977,Guinea,1977,Guinea
Guinea-Bissau,1977,Guinea-Bissau,1977,Guinea-Bissau
Guyana,1977,Guyana,1977,Guyana
Haiti,1977,Haiti,1977,Haiti
Honduras,1977,Honduras,1977,Honduras
Hungary,1977,Hungary,1977,Hungary
Iceland,1977,Iceland,1977,Iceland
India,1977,India,1977,India
Indonesia,1977,Indonesia,1977,Indonesia
Iran,1977,Iran,1977,Iran
Iraq,1977,Iraq,1977,Iraq
Ireland,1977,Ireland,1977,Ireland
Israel,1977,Israel,1977,Israel
Italy,1977,Italy,1977,Italy
Jamaica,1977,Jamaica,1977,Jamaica
Japan,1977,Japan,1977,Japan
Jordan,1977,Jordan,1977,Jordan
Kazakhstan,1977,Kazakhstan,1977,Kazakhstan
Kenya,1977,Kenya,1977,Kenya
Kiribati,1977,Kiribati,1977,Kiribati
Kuwait,1977,Kuwait,1977,Kuwait
Kyrgyz Republic,1977,Kyrgyz Republic,1977,Kyrgyz Republic
Lao,1977,Lao,1977,Lao
Latvia,1977,Latvia,1977,Latvia
Lebanon,1977,Lebanon,1977,Lebanon
Lesotho,1977,Lesotho,1977,Lesotho
Liberia,1977,Liberia,1977,Liberia
Libya,1977,Libya,1977,Libya
Lithuania,1977,Lithuania,1977,Lithuania
Luxembourg,1977,Luxembourg,1977,Luxembourg
"Macedonia, FYR",1977,"Macedonia, FYR",1977,"Macedonia, FYR"
Madagascar,1977,Madagascar,1977,Madagascar
Malawi,1977,Malawi,1977,Malawi
Malaysia,1977,Malaysia,1977,Malaysia
Maldives,1977,Maldives,1977,Maldives
Mali,1977,Mali,1977,Mali
Malta,1977,Malta,1977,Malta
Marshall Islands,1977,Marshall Islands,1977,Marshall Islands
Mauritania,1977,Mauritania,1977,Mauritania
Mauritius,1977,Mauritius,1977,Mauritius
Mexico,1977,Mexico,1977,Mexico
"Micronesia, Fed. Sts.",1977,"Micronesia, Fed. Sts.",1977,"Micronesia, Fed. Sts."
Moldova,1977,Moldova,1977,Moldova
Mongolia,1977,Mongolia,1977,Mongolia
Montenegro,1977,Montenegro,1977,Montenegro
Morocco,1977,Morocco,1977,Morocco
Mozambique,1977,Mozambique,1977,Mozambique
Myanmar,1977,Myanmar,1977,Myanmar
Namibia,1977,Namibia,1977,Namibia
Nepal,1977,Nepal,1977,Nepal
Netherlands,1977,Netherlands,1977,Netherlands
New Zealand,1977,New Zealand,1977,New Zealand
Nicaragua,1977,Nicaragua,1977,Nicaragua
Niger,1977,Niger,1977,Niger
Nigeria,1977,Nigeria,1977,Nigeria
North Korea,1977,North Korea,1977,North Korea
Norway,1977,Norway,1977,Norway
Oman,1977,Oman,1977,Oman
Pakistan,1977,Pakistan,1977,Pakistan
Palestine,1977,Palestine,1977,Palestine
Panama,1977,Panama,1977,Panama
Papua New Guinea,1977,Papua New Guinea,1977,Papua New Guinea
Paraguay,1977,Paraguay,1977,Paraguay
Peru,1977,Peru,1977,Peru
Philippines,1977,Philippines,1977,Philippines
Poland,1977,Poland,1977,Poland
Portugal,1977,Portugal,1977,Portugal
Qatar,1977,Qatar,1977,Qatar
Romania,1977,Romania,1977,Romania
Russia,1977,Russia,1977,Russia
Rwanda,1977,Rwanda,1977,Rwanda
Samoa,1977,Samoa,1977,Samoa
Sao Tome and Principe,1977,Sao Tome and Principe,1977,Sao Tome and Principe
Saudi Arabia,1977,Saudi Arabia,1977,Saudi Arabia
Senegal,1977,Senegal,1977,Senegal
Serbia,1977,Serbia,1977,Serbia
Seychelles,1977,Seychelles,1977,Seychelles
Sierra Leone,1977,Sierra Leone,1977,Sierra Leone
Singapore,1977,Singapore,1977,Singapore
Slovak Republic,1977,Slovak Republic,1977,Slovak Republic
Slovenia,1977,Slovenia,1977,Slovenia
Solomon Islands,1977,Solomon Islands,1977,Solomon Islands
Somalia,1977,Somalia,1977,Somalia
South Africa,1977,South Africa,1977,South Africa
South Korea,1977,South Korea,1977,South Korea
South Sudan,1977,South Sudan,1977,South Sudan
Spain,1977,Spain,1977,Spain
Sri Lanka,1977,Sri Lanka,1977,Sri Lanka
St. Lucia,1977,St. Lucia,1977,St. Lucia
St. Vincent and the Grenadines,1977,St. Vincent and the Grenadines,1977,St. Vincent and the Grenadines
Sudan,1977,Sudan,1977,Sudan
Suriname,1977,Suriname,1977,Suriname
Swaziland,1977,Swaziland,1977,Swaziland
Sweden,1977,Sweden,1977,Sweden
Switzerland,1977,Switzerland,1977,Switzerland
Syria,1977,Syria,1977,Syria
Tajikistan,1977,Tajikistan,1977,Tajikistan
Tanzania,1977,Tanzania,1977,Tanzania
Thailand,1977,Thailand,1977,Thailand
Timor-Leste,1977,Timor-Leste,1977,Timor-Leste
Togo,1977,Togo,1977,Togo
Tonga,1977,Tonga,1977,Tonga
Trinidad and Tobago,1977,Trinidad and Tobago,1977,Trinidad and Tobago
Tunisia,1977,Tunisia,1977,Tunisia
Turkey,1977,Turkey,1977,Turkey
Turkmenistan,1977,Turkmenistan,1977,Turkmenistan
Uganda,1977,Uganda,1977,Uganda
Ukraine,1977,Ukraine,1977,Ukraine
United Arab Emirates,1977,United Arab Emirates,1977,United Arab Emirates
United Kingdom,1977,United Kingdom,1977,United Kingdom
United States,1977,United States,1977,United States
Uruguay,1977,Uruguay,1977,Uruguay
Uzbekistan,1977,Uzbekistan,1977,Uzbekistan
Vanuatu,1977,Vanuatu,1977,Vanuatu
Venezuela,1977,Venezuela,1977,Venezuela
Vietnam,1977,Vietnam,1977,Vietnam
Yemen,1977,Yemen,1977,Yemen
Zambia,1977,Zambia,1977,Zambia
Zimbabwe,1977,Zimbabwe,1977,Zimbabwe
Afghanistan,1982,Afghanistan,1982,Afghanistan
Albania,1982,Albania,1982,Albania
Algeria,1982,Algeria,1982,Algeria
Andorra,1982,Andorra,1982,Andorra
Angola,1982,Angola,1982,Angola
Antigua and Barbuda,1982,Antigua and Barbuda,1982,Antigua and Barbuda
Argentina,1982,Argentina,1982,Argentina
Armenia,1982,Armenia,1982,Armenia
Australia,1982,Australia,1982,Australia
Austria,1982,Austria,1982,Austria
Azerbaijan,1982,Azerbaijan,1982,Azerbaijan
Bahamas,1982,Bahamas,1982,Bahamas
Bahrain,1982,Bahrain,1982,Bahrain
Bangladesh,1982,Bangladesh,1982,Bangladesh
Barbados,1982,Barbados,1982,Barbados
Belarus,1982,Belarus,1982,Belarus
Belgium,1982,Belgium,1982,Belgium
Belize,1982,Belize,1982,Belize
Benin,1982,Benin,1982,Benin
Bhutan,1982,Bhutan,1982,Bhutan
Bolivia,1982,Bolivia,1982,Bolivia
Bosnia and Herzegovina,1982,Bosnia and Herzegovina,1982,Bosnia and Herzegovina
Botswana,1982,Botswana,1982,Botswana
Brazil,1982,Brazil,1982,Brazil
Brunei,1982,Brunei,1982,Brunei
Bulgaria,1982,Bulgaria,1982,Bulgaria
Burkina Faso,1982,Burkina Faso,1982,Burkina Faso
Burundi,1982,Burundi,1982,Burundi
Cambodia,1982,Cambodia,1982,Cambodia
Cameroon,1982,Cameroon,1982,Cameroon
Canada,1982,Canada,1982,Canada
Cape Verde,1982,Cape Verde,1982,Cape Verde
Central African Republic,1982,Central African Republic,1982,Central African Republic
Chad,1982,Chad,1982,Chad
Chile,1982,Chile,1982,Chile
China,1982,China,1982,China
Colombia,1982,Colombia,1982,Colombia
Comoros,1982,Comoros,1982,Comoros
"Congo, Dem. Rep.",1982,"Congo, Dem. Rep.",1982,"Congo, Dem. Rep."
"Congo, Rep.",1982,"Congo, Rep.",1982,"Congo, Rep."
Costa Rica,1982,Costa Rica,1982,Costa Rica
Cote d'Ivoire,1982,Cote d'Ivoire,1982,Cote d'Ivoire
Croatia,1982,Croatia,1982,Croatia
Cuba,1982,Cuba,1982,Cuba
Cyprus,1982,Cyprus,1982,Cyprus
Czech Republic,1982,Czech Republic,1982,Czech Republic
Denmark,1982,Denmark,1982,Denmark
Djibouti,1982,Djibouti,1982,Djibouti
Dominica,1982,Dominica,1982,Dominica
Dominican Republic,1982,Dominican Republic,1982,Dominican Republic
Ecuador,1982,Ecuador,1982,Ecuador
Egypt,1982,Egypt,1982,Egypt
El Salvador,1982,El Salvador,1982,El Salvador
Equatorial Guinea,1982,Equatorial Guinea,1982,Equatorial Guinea
Eritrea,1982,Eritrea,1982,Eritrea
